NPGS site,Address,Type of site,Latitude,Longitude,Include in Crop Science Report (TRUE/FALSE),Verified Location (add name) 
"Beltsville, Maryland ","10300 Baltimore Ave. 
BLDG. 003, RM. 102, BARC-WEST 
Beltsville, Maryland 20705-2350",National Germplasm Resources Laboratory,39.026267,-76.923467,TRUE,
"Washington, D.C.","U. S. National Arboretum 
Woody Landscape Plant Germplasm Repository",National Clonal Germplasm Repository,38.912069,-76.965795,TRUE,Todd Rounsaville
"Miami, Florida","USDA-ARS, SHRS, 
13601 Old Cutler Road 
Miami, Florida 33158 ",National Clonal Germplasm Repository,25.643535,-80.291714,TRUE,Ricardo Goenaga
"Mayaguez, Puerto Rico","USDA, ARS Tropical Agriculture Research Station 
2200 P. A. Campos Ave. Ste. 201 Mayaguez, Puerto Rico",National Clonal Germplasm Repository,18.2081,-67.138297,TRUE,Ricardo Goenaga
Desert Legume Program,"2120 E. Allen Rd. 
Tucson, Arizona 85719 ",Affiliated non-ARS collection,32.275866,-110.939947,FALSE,
Forest Service National Seed Lab,"5675 Riggins Mill Road 
Dry Branch, Georgia 31020",Affiliated non-ARS collection,32.806707,-83.538549,FALSE,
US Nicotiana Germplasm Collection,"North Carolina State University 
Department of Crop Science 
Box 7620 
4309 Williams Hall 
Raleigh, North Carolina 27695",Affiliated non-ARS collection,35.786813,-78.671659,FALSE,
"Central Ferry, Washington","639 Hastings Hill Rd. Pomeroy, WA 99347",Associated with Pullman,46.6714829,-117.7533722,TRUE,Brian Irish
"Prosser, Washington","24106 N. Bunn Rd. Prosser, WA  99350",Associated with Pullman,46.25264208,-119.7378447,TRUE,Brian Irish
"Isabela, Puerto Rico","USDA-ARS Carr. #2 Km. 115 H. 4, Isabela, PR 00662",Associated with Mayaguez,18.469639,-67.056483,TRUE,Ricardo Goenaga
"St Croix, Virgin Islands","USDA-ARS-GIRU East Airport Rd., Upper Bethlehem, St. Croix, Virgin Islands, 00850",Associated with Mayaguez,17.719144,-64.792647,TRUE,Ricardo Goenaga
"Thermal, California","UC Coachella Valley Agricultural Research Station
72155 72nd Ave
Themal, CA 92274",Associated with Riverside,33.52446928,-116.1497251,TRUE,Robert Krueger
"Irvine, California","UC South Coast Research & Extension Center
7601 Irvine Blvd
Irvine, CA 92618",Associated with Riverside,33.68853758,-117.7224132,TRUE,Robert Krueger
"Brownwood, Texas","USDA ARS NCGR Carya; 701 Woodson Rd, Brownwood, TX 76801",Associated with College Station,31.726055,-98.973296,TRUE,
"Wolfskill Orchards, Winters, CA",,Associated with Davis,,,,
"College Park, MD","BARC 'South Farm', Cherry Hill Road, College Park, MD",Associated with USNA,39.019376,-76.938867,,Todd Rounsaville
"Las Cruces, NM","Department of Plant and Environmental Sciences, Box 30003 MSC 3Q
New Mexico State University, Las Cruces, NM 88003-8003","Associated with USDA-PGRU, short-day onion regeneration",32.278475,-106.7487266,,Zachary Stansell
"Hazel Green, AL","WINFRED THOMAS AGRICULTURAL RESEARCH STATION at Alabama A&M, 372 Walker Lane, Hazel Green, AL 35752","Associated with USDA-PGRU, hemp regeneration",34.7817,-86.56365,,Zachary Stansell
"Stoneville, MS","USDA Agricultural Research Service 141 Experiment Station Road Stoneville, MS 38776","Associated with Soybean Collection, late maturity regenerations",33.425041,-90.910871,,Adam Mahan
"Upala, Costa Rica","Costa Rica Seeds Winter Production Services P.O. Box 19-5700 Canas, Guanacastre, Costa Rica","Associated with Soybean Collection, tropical regenerations",10.88521,-85.03396,,Adam Mahan
"Salinas, CA","USDA ARS, 1636 E Alisal St, Salinas, CA 93905",Associated with Ames since they regenerate spinach in positive pressure GH chambers,36.671775,-121.610605,,David Brenner
"Liberia, Costa Rica","9 km North of McDonalds on Pan American Hwy, Liberia Guanacaste, Costa Rica 5001","Associated with USDA-CGRU Cotton Collection, tropical regenerations",10.688608,-85.495003,TRUE,
"Brownwood, TX","USDA ARS NCGR Carya; 701 Woodson Rd, Brownwood, TX 76801",Associated with College Station,31.726055,-98.973296,TRUE,Gayle Volk
Red Run Bog,Monongahela National Forest,"V. macrocarpon, V. oxycoccos",39.07227,-79.4784,TRUE,
Cranberry Glades 1,Monongahela National Forest,"V. macrocarpon, V. oxycoccos",38.19939,-80.272,TRUE,
Cranberry Glades 5,Monongahela National Forest,V. macrocarpon,38.19943,-80.2654,TRUE,
Upper Island Lake,Chequamegon-Nicolet National Forest,V. macrocarpon,45.25023,-88.5576,TRUE,
South Prairie,Gifford Pinchot National Forest,V. oxycoccos,45.90969,-121.699,TRUE,
Little Crater Meadow,Mount Hood National Forest,V. oxycoccos,45.14545,-121.741,TRUE,
"Lalamilo, HI",,Farm site,20.008798,-155.679529,TRUE,Brian Irish
"Volcano, HI",,Farm site,19.48275,-155.267112,TRUE,Brian Irish
"Paauilo, HI",,Farm site,20.051153,-155.370674,TRUE,Brian Irish
