"","ID","NPGS site","variable","month","emission","year","value"
"43",1,"Oregon, Corvallis","tmax","July","SSP126","2021-2040",29.039999961853
"44",1,"Oregon, Corvallis","tmax","August","SSP126","2021-2040",29.7700002670288
"45",1,"Oregon, Corvallis","tmax","September","SSP126","2021-2040",26.710000038147
"46",1,"Oregon, Corvallis","tmax","October","SSP126","2021-2040",20.3699998855591
"47",1,"Oregon, Corvallis","tmax","November","SSP126","2021-2040",12.9500000953674
"48",1,"Oregon, Corvallis","tmax","December","SSP126","2021-2040",9.22999992370606
"49",1,"Oregon, Corvallis","tmin","January","SSP126","2021-2040",2.42999999523163
"50",1,"Oregon, Corvallis","tmin","February","SSP126","2021-2040",3.22999997138977
"51",1,"Oregon, Corvallis","tmin","March","SSP126","2021-2040",4.17000002861023
"52",1,"Oregon, Corvallis","tmin","April","SSP126","2021-2040",5.40999999046326
"53",1,"Oregon, Corvallis","tmin","May","SSP126","2021-2040",7.70000004768372
"54",1,"Oregon, Corvallis","tmin","June","SSP126","2021-2040",10.6200000762939
"55",1,"Oregon, Corvallis","tmin","July","SSP126","2021-2040",12.6400001525879
"56",1,"Oregon, Corvallis","tmin","August","SSP126","2021-2040",12.5099999427795
"57",1,"Oregon, Corvallis","tmin","September","SSP126","2021-2040",10.6799999237061
"58",1,"Oregon, Corvallis","tmin","October","SSP126","2021-2040",6.89999995231628
"59",1,"Oregon, Corvallis","tmin","November","SSP126","2021-2040",4.46000003814697
"60",1,"Oregon, Corvallis","tmin","December","SSP126","2021-2040",2.38000000715256
"61",1,"Oregon, Corvallis","prec","January","SSP126","2021-2040",179.2
"62",1,"Oregon, Corvallis","prec","February","SSP126","2021-2040",150.8
"63",1,"Oregon, Corvallis","prec","March","SSP126","2021-2040",121.6
"64",1,"Oregon, Corvallis","prec","April","SSP126","2021-2040",77.4
"65",1,"Oregon, Corvallis","prec","May","SSP126","2021-2040",56.2
"66",1,"Oregon, Corvallis","prec","June","SSP126","2021-2040",34
"67",1,"Oregon, Corvallis","prec","July","SSP126","2021-2040",13.6
"68",1,"Oregon, Corvallis","prec","August","SSP126","2021-2040",17.3
"69",1,"Oregon, Corvallis","prec","September","SSP126","2021-2040",34.5
"70",1,"Oregon, Corvallis","prec","October","SSP126","2021-2040",73.4
"71",1,"Oregon, Corvallis","prec","November","SSP126","2021-2040",182
"72",1,"Oregon, Corvallis","prec","December","SSP126","2021-2040",204.1
"73",1,"Oregon, Corvallis","tmax","January","SSP126","2041-2060",9.91000003814697
"74",1,"Oregon, Corvallis","tmax","February","SSP126","2041-2060",12.3099999427795
"75",1,"Oregon, Corvallis","tmax","March","SSP126","2041-2060",15.0699999809265
"76",1,"Oregon, Corvallis","tmax","April","SSP126","2041-2060",17.6199998855591
"77",1,"Oregon, Corvallis","tmax","May","SSP126","2041-2060",21.2200000762939
"78",1,"Oregon, Corvallis","tmax","June","SSP126","2041-2060",25.160000038147
"79",1,"Oregon, Corvallis","tmax","July","SSP126","2041-2060",29.6099998474121
"80",1,"Oregon, Corvallis","tmax","August","SSP126","2041-2060",30.35
"81",1,"Oregon, Corvallis","tmax","September","SSP126","2041-2060",27.4700000762939
"82",1,"Oregon, Corvallis","tmax","October","SSP126","2041-2060",20.910000038147
"83",1,"Oregon, Corvallis","tmax","November","SSP126","2041-2060",13.460000038147
"84",1,"Oregon, Corvallis","tmax","December","SSP126","2041-2060",9.69000015258789
"85",1,"Oregon, Corvallis","tmin","January","SSP126","2041-2060",NA
"86",1,"Oregon, Corvallis","tmin","February","SSP126","2041-2060",NA
"87",1,"Oregon, Corvallis","tmin","March","SSP126","2041-2060",NA
"88",1,"Oregon, Corvallis","tmin","April","SSP126","2041-2060",NA
"89",1,"Oregon, Corvallis","tmin","May","SSP126","2041-2060",8.43636365370317
"90",1,"Oregon, Corvallis","tmin","June","SSP126","2041-2060",NA
"91",1,"Oregon, Corvallis","tmin","July","SSP126","2041-2060",NA
"92",1,"Oregon, Corvallis","tmin","August","SSP126","2041-2060",NA
"93",1,"Oregon, Corvallis","tmin","September","SSP126","2041-2060",NA
"94",1,"Oregon, Corvallis","tmin","October","SSP126","2041-2060",8.89090915159746
"95",1,"Oregon, Corvallis","tmin","November","SSP126","2041-2060",NA
"96",1,"Oregon, Corvallis","tmin","December","SSP126","2041-2060",NA
"97",1,"Oregon, Corvallis","prec","January","SSP126","2041-2060",175.9
"98",1,"Oregon, Corvallis","prec","February","SSP126","2041-2060",151.9
"99",1,"Oregon, Corvallis","prec","March","SSP126","2041-2060",118.5
"100",1,"Oregon, Corvallis","prec","April","SSP126","2041-2060",77.4
"101",1,"Oregon, Corvallis","prec","May","SSP126","2041-2060",56.7
"102",1,"Oregon, Corvallis","prec","June","SSP126","2041-2060",33.5
"103",1,"Oregon, Corvallis","prec","July","SSP126","2041-2060",13.7
"104",1,"Oregon, Corvallis","prec","August","SSP126","2041-2060",16.9
"105",1,"Oregon, Corvallis","prec","September","SSP126","2041-2060",34.3
"106",1,"Oregon, Corvallis","prec","October","SSP126","2041-2060",75.2
"107",1,"Oregon, Corvallis","prec","November","SSP126","2041-2060",184.8
"108",1,"Oregon, Corvallis","prec","December","SSP126","2041-2060",210.3
"109",1,"Oregon, Corvallis","tmax","January","SSP126","2061-2080",10.039999961853
"110",1,"Oregon, Corvallis","tmax","February","SSP126","2061-2080",12.4199999809265
"111",1,"Oregon, Corvallis","tmax","March","SSP126","2061-2080",15.0300001144409
"112",1,"Oregon, Corvallis","tmax","April","SSP126","2061-2080",17.7100002288818
"113",1,"Oregon, Corvallis","tmax","May","SSP126","2061-2080",21.3599998474121
"114",1,"Oregon, Corvallis","tmax","June","SSP126","2061-2080",25.1800001144409
"115",1,"Oregon, Corvallis","tmax","July","SSP126","2061-2080",29.7599998474121
"116",1,"Oregon, Corvallis","tmax","August","SSP126","2061-2080",30.4699998855591
"117",1,"Oregon, Corvallis","tmax","September","SSP126","2061-2080",27.4199998855591
"118",1,"Oregon, Corvallis","tmax","October","SSP126","2061-2080",20.8800003051758
"119",1,"Oregon, Corvallis","tmax","November","SSP126","2061-2080",13.4400001525879
"120",1,"Oregon, Corvallis","tmax","December","SSP126","2061-2080",9.79000005722046
"121",1,"Oregon, Corvallis","tmin","January","SSP126","2061-2080",3.00999999046326
"122",1,"Oregon, Corvallis","tmin","February","SSP126","2061-2080",3.82999994754791
"123",1,"Oregon, Corvallis","tmin","March","SSP126","2061-2080",4.69000005722046
"124",1,"Oregon, Corvallis","tmin","April","SSP126","2061-2080",5.92000002861023
"125",1,"Oregon, Corvallis","tmin","May","SSP126","2061-2080",8.19000000953674
"126",1,"Oregon, Corvallis","tmin","June","SSP126","2061-2080",11.1500001907349
"127",1,"Oregon, Corvallis","tmin","July","SSP126","2061-2080",13.3300000190735
"128",1,"Oregon, Corvallis","tmin","August","SSP126","2061-2080",13.2099999427795
"129",1,"Oregon, Corvallis","tmin","September","SSP126","2061-2080",11.439999961853
"130",1,"Oregon, Corvallis","tmin","October","SSP126","2061-2080",7.44000000953674
"131",1,"Oregon, Corvallis","tmin","November","SSP126","2061-2080",4.99000000953674
"132",1,"Oregon, Corvallis","tmin","December","SSP126","2061-2080",3
"133",1,"Oregon, Corvallis","prec","January","SSP126","2061-2080",177.7
"134",1,"Oregon, Corvallis","prec","February","SSP126","2061-2080",154.9
"135",1,"Oregon, Corvallis","prec","March","SSP126","2061-2080",121.4
"136",1,"Oregon, Corvallis","prec","April","SSP126","2061-2080",77.9
"137",1,"Oregon, Corvallis","prec","May","SSP126","2061-2080",57.8
"138",1,"Oregon, Corvallis","prec","June","SSP126","2061-2080",34.1
"139",1,"Oregon, Corvallis","prec","July","SSP126","2061-2080",13.7
"140",1,"Oregon, Corvallis","prec","August","SSP126","2061-2080",17.6
"141",1,"Oregon, Corvallis","prec","September","SSP126","2061-2080",34.4
"142",1,"Oregon, Corvallis","prec","October","SSP126","2061-2080",74.7
"143",1,"Oregon, Corvallis","prec","November","SSP126","2061-2080",183.9
"144",1,"Oregon, Corvallis","prec","December","SSP126","2061-2080",208.7
"145",1,"Oregon, Corvallis","tmax","January","SSP126","2081-2100",10.0599999427795
"146",1,"Oregon, Corvallis","tmax","February","SSP126","2081-2100",12.5699999809265
"147",1,"Oregon, Corvallis","tmax","March","SSP126","2081-2100",15.1700000762939
"148",1,"Oregon, Corvallis","tmax","April","SSP126","2081-2100",17.6500001907349
"149",1,"Oregon, Corvallis","tmax","May","SSP126","2081-2100",21.389999961853
"150",1,"Oregon, Corvallis","tmax","June","SSP126","2081-2100",25.2500001907349
"151",1,"Oregon, Corvallis","tmax","July","SSP126","2081-2100",29.7699998855591
"152",1,"Oregon, Corvallis","tmax","August","SSP126","2081-2100",30.4700000762939
"153",1,"Oregon, Corvallis","tmax","September","SSP126","2081-2100",27.4800001144409
"154",1,"Oregon, Corvallis","tmax","October","SSP126","2081-2100",21.0299997329712
"155",1,"Oregon, Corvallis","tmax","November","SSP126","2081-2100",13.439999961853
"156",1,"Oregon, Corvallis","tmax","December","SSP126","2081-2100",9.76999998092651
"157",1,"Oregon, Corvallis","tmin","January","SSP126","2081-2100",3.05999999046326
"158",1,"Oregon, Corvallis","tmin","February","SSP126","2081-2100",3.92000000476837
"159",1,"Oregon, Corvallis","tmin","March","SSP126","2081-2100",4.73000001907349
"160",1,"Oregon, Corvallis","tmin","April","SSP126","2081-2100",5.85999999046326
"161",1,"Oregon, Corvallis","tmin","May","SSP126","2081-2100",8.21000008583069
"162",1,"Oregon, Corvallis","tmin","June","SSP126","2081-2100",11.189999961853
"163",1,"Oregon, Corvallis","tmin","July","SSP126","2081-2100",13.35
"164",1,"Oregon, Corvallis","tmin","August","SSP126","2081-2100",13.2300000190735
"165",1,"Oregon, Corvallis","tmin","September","SSP126","2081-2100",11.4700001716614
"166",1,"Oregon, Corvallis","tmin","October","SSP126","2081-2100",7.5
"167",1,"Oregon, Corvallis","tmin","November","SSP126","2081-2100",5.00999999046326
"168",1,"Oregon, Corvallis","tmin","December","SSP126","2081-2100",2.97000000476837
"169",1,"Oregon, Corvallis","prec","January","SSP126","2081-2100",178.8
"170",1,"Oregon, Corvallis","prec","February","SSP126","2081-2100",153.1
"171",1,"Oregon, Corvallis","prec","March","SSP126","2081-2100",119.9
"172",1,"Oregon, Corvallis","prec","April","SSP126","2081-2100",78.5
"173",1,"Oregon, Corvallis","prec","May","SSP126","2081-2100",57.1
"174",1,"Oregon, Corvallis","prec","June","SSP126","2081-2100",33.6
"175",1,"Oregon, Corvallis","prec","July","SSP126","2081-2100",13.6
"176",1,"Oregon, Corvallis","prec","August","SSP126","2081-2100",17.3
"177",1,"Oregon, Corvallis","prec","September","SSP126","2081-2100",34
"178",1,"Oregon, Corvallis","prec","October","SSP126","2081-2100",75.2
"179",1,"Oregon, Corvallis","prec","November","SSP126","2081-2100",186.2
"180",1,"Oregon, Corvallis","prec","December","SSP126","2081-2100",209.5
"181",1,"Oregon, Corvallis","tmax","January","SSP245","2021-2040",9.3
"182",1,"Oregon, Corvallis","tmax","February","SSP245","2021-2040",11.7400000572205
"183",1,"Oregon, Corvallis","tmax","March","SSP245","2021-2040",14.4300001144409
"184",1,"Oregon, Corvallis","tmax","April","SSP245","2021-2040",17.1500001907349
"185",1,"Oregon, Corvallis","tmax","May","SSP245","2021-2040",20.7400003433228
"186",1,"Oregon, Corvallis","tmax","June","SSP245","2021-2040",24.6799999237061
"187",1,"Oregon, Corvallis","tmax","July","SSP245","2021-2040",29.1199996948242
"188",1,"Oregon, Corvallis","tmax","August","SSP245","2021-2040",29.8700004577637
"189",1,"Oregon, Corvallis","tmax","September","SSP245","2021-2040",26.8
"190",1,"Oregon, Corvallis","tmax","October","SSP245","2021-2040",20.4600002288818
"191",1,"Oregon, Corvallis","tmax","November","SSP245","2021-2040",12.9599999427795
"192",1,"Oregon, Corvallis","tmax","December","SSP245","2021-2040",9.25
"193",1,"Oregon, Corvallis","tmin","January","SSP245","2021-2040",2.28999999761581
"194",1,"Oregon, Corvallis","tmin","February","SSP245","2021-2040",3.17000000476837
"195",1,"Oregon, Corvallis","tmin","March","SSP245","2021-2040",4.12999999523163
"196",1,"Oregon, Corvallis","tmin","April","SSP245","2021-2040",5.37000007629395
"197",1,"Oregon, Corvallis","tmin","May","SSP245","2021-2040",7.65
"198",1,"Oregon, Corvallis","tmin","June","SSP245","2021-2040",10.6800002098083
"199",1,"Oregon, Corvallis","tmin","July","SSP245","2021-2040",12.6899998664856
"200",1,"Oregon, Corvallis","tmin","August","SSP245","2021-2040",12.5400000572205
"201",1,"Oregon, Corvallis","tmin","September","SSP245","2021-2040",10.7600001335144
"202",1,"Oregon, Corvallis","tmin","October","SSP245","2021-2040",6.9300000667572
"203",1,"Oregon, Corvallis","tmin","November","SSP245","2021-2040",4.54000005722046
"204",1,"Oregon, Corvallis","tmin","December","SSP245","2021-2040",2.42999997138977
"205",1,"Oregon, Corvallis","prec","January","SSP245","2021-2040",178.7
"206",1,"Oregon, Corvallis","prec","February","SSP245","2021-2040",153.7
"207",1,"Oregon, Corvallis","prec","March","SSP245","2021-2040",119.7
"208",1,"Oregon, Corvallis","prec","April","SSP245","2021-2040",76.9
"209",1,"Oregon, Corvallis","prec","May","SSP245","2021-2040",57.4
"210",1,"Oregon, Corvallis","prec","June","SSP245","2021-2040",34.1
"211",1,"Oregon, Corvallis","prec","July","SSP245","2021-2040",13.2
"212",1,"Oregon, Corvallis","prec","August","SSP245","2021-2040",17.1
"213",1,"Oregon, Corvallis","prec","September","SSP245","2021-2040",34.3
"214",1,"Oregon, Corvallis","prec","October","SSP245","2021-2040",73.6
"215",1,"Oregon, Corvallis","prec","November","SSP245","2021-2040",182.6
"216",1,"Oregon, Corvallis","prec","December","SSP245","2021-2040",206.9
"217",1,"Oregon, Corvallis","tmax","January","SSP245","2041-2060",9.91999998092651
"218",1,"Oregon, Corvallis","tmax","February","SSP245","2041-2060",12.45
"219",1,"Oregon, Corvallis","tmax","March","SSP245","2041-2060",15.1099999427795
"220",1,"Oregon, Corvallis","tmax","April","SSP245","2041-2060",17.7300001144409
"221",1,"Oregon, Corvallis","tmax","May","SSP245","2041-2060",21.4100002288818
"222",1,"Oregon, Corvallis","tmax","June","SSP245","2041-2060",25.3800001144409
"223",1,"Oregon, Corvallis","tmax","July","SSP245","2041-2060",29.9299999237061
"224",1,"Oregon, Corvallis","tmax","August","SSP245","2041-2060",30.6700000762939
"225",1,"Oregon, Corvallis","tmax","September","SSP245","2041-2060",27.55
"226",1,"Oregon, Corvallis","tmax","October","SSP245","2041-2060",21.0699998855591
"227",1,"Oregon, Corvallis","tmax","November","SSP245","2041-2060",13.45
"228",1,"Oregon, Corvallis","tmax","December","SSP245","2041-2060",9.82999992370605
"229",1,"Oregon, Corvallis","tmin","January","SSP245","2041-2060",2.94999995231628
"230",1,"Oregon, Corvallis","tmin","February","SSP245","2041-2060",3.87000000476837
"231",1,"Oregon, Corvallis","tmin","March","SSP245","2041-2060",4.74000000953674
"232",1,"Oregon, Corvallis","tmin","April","SSP245","2041-2060",5.95999999046326
"233",1,"Oregon, Corvallis","tmin","May","SSP245","2041-2060",8.29000005722046
"234",1,"Oregon, Corvallis","tmin","June","SSP245","2041-2060",11.2800001144409
"235",1,"Oregon, Corvallis","tmin","July","SSP245","2041-2060",13.45
"236",1,"Oregon, Corvallis","tmin","August","SSP245","2041-2060",13.389999961853
"237",1,"Oregon, Corvallis","tmin","September","SSP245","2041-2060",11.5699998855591
"238",1,"Oregon, Corvallis","tmin","October","SSP245","2041-2060",7.6199999332428
"239",1,"Oregon, Corvallis","tmin","November","SSP245","2041-2060",5
"240",1,"Oregon, Corvallis","tmin","December","SSP245","2041-2060",3.06999998092651
"241",1,"Oregon, Corvallis","prec","January","SSP245","2041-2060",178.3
"242",1,"Oregon, Corvallis","prec","February","SSP245","2041-2060",154.5
"243",1,"Oregon, Corvallis","prec","March","SSP245","2041-2060",118.8
"244",1,"Oregon, Corvallis","prec","April","SSP245","2041-2060",77.5
"245",1,"Oregon, Corvallis","prec","May","SSP245","2041-2060",56.4
"246",1,"Oregon, Corvallis","prec","June","SSP245","2041-2060",33
"247",1,"Oregon, Corvallis","prec","July","SSP245","2041-2060",13.4
"248",1,"Oregon, Corvallis","prec","August","SSP245","2041-2060",16.9
"249",1,"Oregon, Corvallis","prec","September","SSP245","2041-2060",34.4
"250",1,"Oregon, Corvallis","prec","October","SSP245","2041-2060",74.8
"251",1,"Oregon, Corvallis","prec","November","SSP245","2041-2060",180.7
"252",1,"Oregon, Corvallis","prec","December","SSP245","2041-2060",211.3
"253",1,"Oregon, Corvallis","tmax","January","SSP245","2061-2080",10.489999961853
"254",1,"Oregon, Corvallis","tmax","February","SSP245","2061-2080",12.9100001335144
"255",1,"Oregon, Corvallis","tmax","March","SSP245","2061-2080",15.4699999809265
"256",1,"Oregon, Corvallis","tmax","April","SSP245","2061-2080",18.0700000762939
"257",1,"Oregon, Corvallis","tmax","May","SSP245","2061-2080",21.8199996948242
"258",1,"Oregon, Corvallis","tmax","June","SSP245","2061-2080",25.8199998855591
"259",1,"Oregon, Corvallis","tmax","July","SSP245","2061-2080",30.510000038147
"260",1,"Oregon, Corvallis","tmax","August","SSP245","2061-2080",31.339999961853
"261",1,"Oregon, Corvallis","tmax","September","SSP245","2061-2080",28.260000038147
"262",1,"Oregon, Corvallis","tmax","October","SSP245","2061-2080",21.7299999237061
"263",1,"Oregon, Corvallis","tmax","November","SSP245","2061-2080",13.95
"264",1,"Oregon, Corvallis","tmax","December","SSP245","2061-2080",10.2799999237061
"265",1,"Oregon, Corvallis","tmin","January","SSP245","2061-2080",3.57000002861023
"266",1,"Oregon, Corvallis","tmin","February","SSP245","2061-2080",4.37000000476837
"267",1,"Oregon, Corvallis","tmin","March","SSP245","2061-2080",5.14000000953674
"268",1,"Oregon, Corvallis","tmin","April","SSP245","2061-2080",6.27999997138977
"269",1,"Oregon, Corvallis","tmin","May","SSP245","2061-2080",8.70000009536743
"270",1,"Oregon, Corvallis","tmin","June","SSP245","2061-2080",11.7700000762939
"271",1,"Oregon, Corvallis","tmin","July","SSP245","2061-2080",14.1199997901917
"272",1,"Oregon, Corvallis","tmin","August","SSP245","2061-2080",14.1100001335144
"273",1,"Oregon, Corvallis","tmin","September","SSP245","2061-2080",12.3
"274",1,"Oregon, Corvallis","tmin","October","SSP245","2061-2080",8.29000000953674
"275",1,"Oregon, Corvallis","tmin","November","SSP245","2061-2080",5.59000000953674
"276",1,"Oregon, Corvallis","tmin","December","SSP245","2061-2080",3.51000003814697
"277",1,"Oregon, Corvallis","prec","January","SSP245","2061-2080",183.6
"278",1,"Oregon, Corvallis","prec","February","SSP245","2061-2080",153.5
"279",1,"Oregon, Corvallis","prec","March","SSP245","2061-2080",120.8
"280",1,"Oregon, Corvallis","prec","April","SSP245","2061-2080",77.3
"281",1,"Oregon, Corvallis","prec","May","SSP245","2061-2080",57
"282",1,"Oregon, Corvallis","prec","June","SSP245","2061-2080",33.2
"283",1,"Oregon, Corvallis","prec","July","SSP245","2061-2080",13.4
"284",1,"Oregon, Corvallis","prec","August","SSP245","2061-2080",17
"285",1,"Oregon, Corvallis","prec","September","SSP245","2061-2080",34.2
"286",1,"Oregon, Corvallis","prec","October","SSP245","2061-2080",73
"287",1,"Oregon, Corvallis","prec","November","SSP245","2061-2080",186.7
"288",1,"Oregon, Corvallis","prec","December","SSP245","2061-2080",210.6
"289",1,"Oregon, Corvallis","tmax","January","SSP245","2081-2100",10.7599999427795
"290",1,"Oregon, Corvallis","tmax","February","SSP245","2081-2100",13.3099999427795
"291",1,"Oregon, Corvallis","tmax","March","SSP245","2081-2100",15.8700001716614
"292",1,"Oregon, Corvallis","tmax","April","SSP245","2081-2100",18.3900001525879
"293",1,"Oregon, Corvallis","tmax","May","SSP245","2081-2100",22.1399997711182
"294",1,"Oregon, Corvallis","tmax","June","SSP245","2081-2100",26.2699998855591
"295",1,"Oregon, Corvallis","tmax","July","SSP245","2081-2100",30.9600002288818
"296",1,"Oregon, Corvallis","tmax","August","SSP245","2081-2100",31.7800001144409
"297",1,"Oregon, Corvallis","tmax","September","SSP245","2081-2100",28.7400001525879
"298",1,"Oregon, Corvallis","tmax","October","SSP245","2081-2100",22.039999961853
"299",1,"Oregon, Corvallis","tmax","November","SSP245","2081-2100",14.2800000190735
"300",1,"Oregon, Corvallis","tmax","December","SSP245","2081-2100",10.5100001335144
"301",1,"Oregon, Corvallis","tmin","January","SSP245","2081-2100",3.81999995708466
"302",1,"Oregon, Corvallis","tmin","February","SSP245","2081-2100",4.66999995708466
"303",1,"Oregon, Corvallis","tmin","March","SSP245","2081-2100",5.52000002861023
"304",1,"Oregon, Corvallis","tmin","April","SSP245","2081-2100",6.59000010490417
"305",1,"Oregon, Corvallis","tmin","May","SSP245","2081-2100",8.97999992370606
"306",1,"Oregon, Corvallis","tmin","June","SSP245","2081-2100",12.1400001525879
"307",1,"Oregon, Corvallis","tmin","July","SSP245","2081-2100",14.5300001144409
"308",1,"Oregon, Corvallis","tmin","August","SSP245","2081-2100",14.5600001335144
"309",1,"Oregon, Corvallis","tmin","September","SSP245","2081-2100",12.75
"310",1,"Oregon, Corvallis","tmin","October","SSP245","2081-2100",8.61000003814697
"311",1,"Oregon, Corvallis","tmin","November","SSP245","2081-2100",5.87999997138977
"312",1,"Oregon, Corvallis","tmin","December","SSP245","2081-2100",3.7300000667572
"313",1,"Oregon, Corvallis","prec","January","SSP245","2081-2100",181.8
"314",1,"Oregon, Corvallis","prec","February","SSP245","2081-2100",153.1
"315",1,"Oregon, Corvallis","prec","March","SSP245","2081-2100",121.6
"316",1,"Oregon, Corvallis","prec","April","SSP245","2081-2100",77
"317",1,"Oregon, Corvallis","prec","May","SSP245","2081-2100",56.6
"318",1,"Oregon, Corvallis","prec","June","SSP245","2081-2100",33.5
"319",1,"Oregon, Corvallis","prec","July","SSP245","2081-2100",13.6
"320",1,"Oregon, Corvallis","prec","August","SSP245","2081-2100",16.8
"321",1,"Oregon, Corvallis","prec","September","SSP245","2081-2100",33.9
"322",1,"Oregon, Corvallis","prec","October","SSP245","2081-2100",75.6
"323",1,"Oregon, Corvallis","prec","November","SSP245","2081-2100",185.2
"324",1,"Oregon, Corvallis","prec","December","SSP245","2081-2100",211
"325",1,"Oregon, Corvallis","tmax","January","SSP370","2021-2040",9.36999998092651
"326",1,"Oregon, Corvallis","tmax","February","SSP370","2021-2040",11.7399998664856
"327",1,"Oregon, Corvallis","tmax","March","SSP370","2021-2040",14.439999961853
"328",1,"Oregon, Corvallis","tmax","April","SSP370","2021-2040",17.1999998092651
"329",1,"Oregon, Corvallis","tmax","May","SSP370","2021-2040",20.8699998855591
"330",1,"Oregon, Corvallis","tmax","June","SSP370","2021-2040",24.6299997329712
"331",1,"Oregon, Corvallis","tmax","July","SSP370","2021-2040",29.0799999237061
"332",1,"Oregon, Corvallis","tmax","August","SSP370","2021-2040",29.85
"333",1,"Oregon, Corvallis","tmax","September","SSP370","2021-2040",26.7699995040894
"334",1,"Oregon, Corvallis","tmax","October","SSP370","2021-2040",20.3900001525879
"335",1,"Oregon, Corvallis","tmax","November","SSP370","2021-2040",12.8700000762939
"336",1,"Oregon, Corvallis","tmax","December","SSP370","2021-2040",9.16999998092651
"337",1,"Oregon, Corvallis","tmin","January","SSP370","2021-2040",2.37000000476837
"338",1,"Oregon, Corvallis","tmin","February","SSP370","2021-2040",3.15000002384186
"339",1,"Oregon, Corvallis","tmin","March","SSP370","2021-2040",4.16000003814697
"340",1,"Oregon, Corvallis","tmin","April","SSP370","2021-2040",5.39999995231628
"341",1,"Oregon, Corvallis","tmin","May","SSP370","2021-2040",7.68999996185303
"342",1,"Oregon, Corvallis","tmin","June","SSP370","2021-2040",10.6199999809265
"343",1,"Oregon, Corvallis","tmin","July","SSP370","2021-2040",12.7199999809265
"344",1,"Oregon, Corvallis","tmin","August","SSP370","2021-2040",12.5500000953674
"345",1,"Oregon, Corvallis","tmin","September","SSP370","2021-2040",10.7800001144409
"346",1,"Oregon, Corvallis","tmin","October","SSP370","2021-2040",6.88000001907349
"347",1,"Oregon, Corvallis","tmin","November","SSP370","2021-2040",4.42999997138977
"348",1,"Oregon, Corvallis","tmin","December","SSP370","2021-2040",2.34999998807907
"349",1,"Oregon, Corvallis","prec","January","SSP370","2021-2040",177
"350",1,"Oregon, Corvallis","prec","February","SSP370","2021-2040",149.9
"351",1,"Oregon, Corvallis","prec","March","SSP370","2021-2040",120.3
