ID,NPGS site,Type of site,variable,emission,year,value
1,"Corvallis, Oregon",National Clonal Germplasm Repository,tmin,ssp585,2081-2100,11.041666984558105
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,historic,1970-2000,46.33333206176758
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,historic,1970-2000,14.588666915893555
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,historic,1970-2000,2.4779999256134033
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp126,2021-2040,48.58333206176758
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp245,2021-2040,47.5
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp370,2021-2040,47.58333206176758
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp585,2021-2040,49
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp126,2041-2060,49.08333206176758
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp245,2041-2060,49.16666793823242
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp370,2041-2060,49.16666793823242
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp585,2041-2060,48.91666793823242
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp126,2061-2080,49.58333206176758
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp245,2061-2080,50.75
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp370,2061-2080,50.08333206176758
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp585,2061-2080,49.75
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp126,2081-2100,50.5
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp245,2081-2100,51.41666793823242
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp370,2081-2100,51.91666793823242
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",prec,ssp585,2081-2100,52
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp126,2021-2040,16.816667556762695
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp245,2021-2040,16.866666793823242
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp370,2021-2040,17.058332443237305
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp585,2021-2040,17.200000762939453
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp126,2041-2060,17.766666412353516
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp245,2041-2060,17.975000381469727
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp370,2041-2060,18.133333206176758
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp585,2041-2060,18.5
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp126,2061-2080,18.04166603088379
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp245,2061-2080,18.683334350585938
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp370,2061-2080,19.491666793823242
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp585,2061-2080,20.441667556762695
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp126,2081-2100,18.21666717529297
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp245,2081-2100,19.241666793823242
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp370,2081-2100,21.016666412353516
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmax,ssp585,2081-2100,22.33333396911621
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp126,2021-2040,4.300000190734863
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp245,2021-2040,4.275000095367432
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp370,2021-2040,4.483333110809326
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp585,2021-2040,4.724999904632568
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp126,2041-2060,5.116666793823242
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp245,2041-2060,5.358333110809326
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp370,2041-2060,5.5333333015441895
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp585,2041-2060,5.824999809265137
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp126,2061-2080,5.400000095367432
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp245,2061-2080,6.083333492279053
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp370,2061-2080,6.891666889190674
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp585,2061-2080,7.574999809265137
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp126,2081-2100,5.508333206176758
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp245,2081-2100,6.599999904632568
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp370,2081-2100,8.25
2,"Pullman, Washington","Plant Introduction Station, Genetic stock collection",tmin,ssp585,2081-2100,9.375
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,historic,1970-2000,20.5
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,historic,1970-2000,15.210333824157715
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,historic,1970-2000,0.06399989873170853
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp126,2021-2040,21.16666603088379
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp245,2021-2040,20.5
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp370,2021-2040,20.5
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp585,2021-2040,21.08333396911621
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp126,2041-2060,21.16666603088379
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp245,2041-2060,21.66666603088379
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp370,2041-2060,21.58333396911621
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp585,2041-2060,21.66666603088379
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp126,2061-2080,21.41666603088379
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp245,2061-2080,21.83333396911621
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp370,2061-2080,22.33333396911621
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp585,2061-2080,22.25
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp126,2081-2100,21.83333396911621
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp245,2081-2100,22
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp370,2081-2100,23
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",prec,ssp585,2081-2100,23
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp126,2021-2040,17.90833282470703
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp245,2021-2040,17.866666793823242
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp370,2021-2040,18.174999237060547
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp585,2021-2040,18.21666717529297
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp126,2041-2060,18.816665649414063
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp245,2041-2060,19.008333206176758
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp370,2041-2060,19.183332443237305
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp585,2041-2060,19.450000762939453
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp126,2061-2080,19.09166717529297
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp245,2061-2080,19.766666412353516
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp370,2061-2080,20.54166603088379
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp585,2061-2080,21.483333587646484
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp126,2081-2100,19.183334350585938
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp245,2081-2100,20.383333206176758
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp370,2081-2100,22.09166717529297
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmax,ssp585,2081-2100,23.366666793823242
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp126,2021-2040,2.508333444595337
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp245,2021-2040,2.383333444595337
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp370,2021-2040,2.7083332538604736
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp585,2021-2040,2.866666555404663
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp126,2041-2060,3.299999952316284
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp245,2041-2060,3.5999999046325684
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp370,2041-2060,3.808333158493042
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp585,2041-2060,4.058333396911621
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp126,2061-2080,3.6416666507720947
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp245,2061-2080,4.416666507720947
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp370,2061-2080,5.275000095367432
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp585,2061-2080,6.125
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp126,2081-2100,3.6666667461395264
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp245,2081-2100,4.9666666984558105
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp370,2081-2100,6.791666507720947
3,"Aberdeen, Idaho","Crop collection, Genetic stock collection (2)",tmin,ssp585,2081-2100,7.991666316986084
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,historic,1970-2000,42.08333206176758
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,historic,1970-2000,23.54366683959961
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,historic,1970-2000,8.455666542053223
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp126,2021-2040,41.25
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp245,2021-2040,39.66666793823242
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp370,2021-2040,39.25
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp585,2021-2040,41.16666793823242
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp126,2041-2060,42.66666793823242
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp245,2041-2060,42.25
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp370,2041-2060,40.5
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp585,2041-2060,41.83333206176758
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp126,2061-2080,42.58333206176758
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp245,2061-2080,44.75
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp370,2061-2080,46.25
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp585,2061-2080,42
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp126,2081-2100,42.41666793823242
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp245,2081-2100,44.41666793823242
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp370,2081-2100,42.16666793823242
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",prec,ssp585,2081-2100,42.08333206176758
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp126,2021-2040,25.424999237060547
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp245,2021-2040,25.433332443237305
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp370,2021-2040,25.558332443237305
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp585,2021-2040,25.625
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp126,2041-2060,26.20833396911621
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp245,2041-2060,26.308334350585938
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp370,2041-2060,26.475000381469727
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp585,2041-2060,26.65833282470703
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp126,2061-2080,26.34166717529297
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp245,2061-2080,26.91666603088379
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp370,2061-2080,27.391666412353516
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp585,2061-2080,28.291667938232422
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp126,2081-2100,26.508333206176758
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp245,2081-2100,27.375
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp370,2081-2100,28.808332443237305
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmax,ssp585,2081-2100,29.875
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp126,2021-2040,10.050000190734863
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp245,2021-2040,10.008333206176758
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp370,2021-2040,10.183333396911621
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp585,2021-2040,10.291666984558105
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp126,2041-2060,10.824999809265137
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp245,2041-2060,10.983333587646484
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp370,2041-2060,11.091667175292969
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp585,2041-2060,11.300000190734863
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp126,2061-2080,10.991666793823242
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp245,2061-2080,11.633333206176758
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp370,2061-2080,12.191666603088379
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp585,2061-2080,12.866666793823242
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp126,2081-2100,11.083333015441895
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp245,2081-2100,12.024999618530273
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp370,2081-2100,13.441666603088379
4,"Davis, California","National Clonal Germplasm Repository, Genetic stock collection",tmin,ssp585,2081-2100,14.416666984558105
5,"Parlier, California",Specialized  (warm-season arid environment),prec,historic,1970-2000,24.91666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,historic,1970-2000,24.418333053588867
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,historic,1970-2000,9.854666709899902
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp126,2021-2040,24.66666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp245,2021-2040,23.58333396911621
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp370,2021-2040,23.91666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp585,2021-2040,24.58333396911621
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp126,2041-2060,25.33333396911621
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp245,2041-2060,25.25
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp370,2041-2060,24.16666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp585,2041-2060,25.66666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp126,2061-2080,25.58333396911621
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp245,2061-2080,26.75
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp370,2061-2080,27.08333396911621
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp585,2061-2080,26
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp126,2081-2100,24.75
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp245,2081-2100,25.41666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp370,2081-2100,25.25
5,"Parlier, California",Specialized  (warm-season arid environment),prec,ssp585,2081-2100,24.66666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp126,2021-2040,26.566667556762695
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp245,2021-2040,26.608333587646484
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp370,2021-2040,26.700000762939453
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp585,2021-2040,26.733333587646484
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp126,2041-2060,27.233333587646484
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp245,2041-2060,27.41666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp370,2041-2060,27.66666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp585,2041-2060,27.708332061767578
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp126,2061-2080,27.399999618530273
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp245,2061-2080,27.933332443237305
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp370,2061-2080,28.491666793823242
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp585,2061-2080,29.358333587646484
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp126,2081-2100,27.59166717529297
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp245,2081-2100,28.483333587646484
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp370,2081-2100,29.924999237060547
5,"Parlier, California",Specialized  (warm-season arid environment),tmax,ssp585,2081-2100,31.066667556762695
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp126,2021-2040,11.574999809265137
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp245,2021-2040,11.608333587646484
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp370,2021-2040,11.791666984558105
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp585,2021-2040,11.808333396911621
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp126,2041-2060,12.333333015441895
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp245,2041-2060,12.566666603088379
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp370,2041-2060,12.699999809265137
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp585,2041-2060,12.875
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp126,2061-2080,12.449999809265137
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp245,2061-2080,13.125
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp370,2061-2080,13.791666984558105
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp585,2061-2080,14.52500057220459
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp126,2081-2100,12.541666984558105
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp245,2081-2100,13.524999618530273
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp370,2081-2100,15.108333587646484
5,"Parlier, California",Specialized  (warm-season arid environment),tmin,ssp585,2081-2100,16.141666412353516
6,"Riverside, California",National Clonal Germplasm Repository,prec,historic,1970-2000,27.5
6,"Riverside, California",National Clonal Germplasm Repository,tmax,historic,1970-2000,26.17099952697754
6,"Riverside, California",National Clonal Germplasm Repository,tmin,historic,1970-2000,10.560333251953125
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp126,2021-2040,27.25
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp245,2021-2040,26.83333396911621
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp370,2021-2040,26.75
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp585,2021-2040,26.91666603088379
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp126,2041-2060,28.16666603088379
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp245,2041-2060,28.91666603088379
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp370,2041-2060,26.58333396911621
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp585,2041-2060,29.08333396911621
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp126,2061-2080,29.33333396911621
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp245,2061-2080,30.33333396911621
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp370,2061-2080,30.5
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp585,2061-2080,30
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp126,2081-2100,28
6,"Riverside, California",National Clonal Germplasm Repository,prec,ssp245,2081-2100,27.91666603088379
